ID_REGISTRO,OPERADOR,SONDA,TECN,AMBITO,CLASE,PLAN,VEL_CONT_B,VEL_CONT_S,CAT,LAT,VB,VS,JIT,PP,FECHA
164,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.81,4.92,1.52,0.26,0,2025-01-06 14:40:02
165,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.59,4.93,1.52,0.43,0,2025-01-06 15:00:02
166,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.67,4.92,1.52,0.18,0,2025-01-06 15:20:01
167,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.23,4.93,1.52,0.31,0,2025-01-06 15:40:02
168,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.69,4.93,1.51,0.25,0,2025-01-06 16:00:02
169,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.70,4.93,1.52,0.44,0,2025-01-06 16:20:01
170,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.23,4.93,1.52,0.24,0,2025-01-06 16:40:02
171,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.15,4.93,1.52,0.41,0,2025-01-06 17:00:01
172,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.44,4.93,1.51,0.32,0,2025-01-06 17:20:02
173,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.72,4.92,1.51,0.19,0,2025-01-06 17:40:01
174,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.71,4.93,1.51,0.27,0,2025-01-06 18:00:02
175,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.73,4.92,1.51,0.18,0,2025-01-06 18:20:01
176,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.59,4.93,1.51,0.16,0,2025-01-06 18:40:02
177,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.39,4.93,1.52,0.28,0,2025-01-06 19:00:01
178,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.29,4.92,1.51,0.34,0,2025-01-06 19:20:01
179,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.26,4.93,1.52,0.27,0,2025-01-06 19:40:02
180,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.72,4.93,1.52,0.20,0,2025-01-06 20:00:02
181,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.75,4.93,1.52,0.41,0,2025-01-06 20:20:02
182,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.93,4.93,1.51,0.19,0,2025-01-06 20:40:01
183,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.83,4.92,1.51,0.16,0,2025-01-06 21:00:01
184,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.24,4.93,1.52,0.18,0,2025-01-06 21:20:02
185,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.20,4.92,1.52,0.20,0,2025-01-06 21:40:02
186,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.93,4.93,1.52,0.27,0,2025-01-06 22:00:02
187,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.30,4.93,1.52,0.33,0,2025-01-07 12:00:01
188,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.24,4.93,1.51,0.41,0,2025-01-07 12:20:01
189,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.61,4.93,1.52,0.33,0,2025-01-07 12:40:02
190,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.41,4.92,1.52,0.39,0,2025-01-07 13:00:02
191,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.79,4.93,1.52,0.17,0,2025-01-07 13:20:02
192,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.93,4.92,1.52,0.41,0,2025-01-07 13:40:02
193,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.30,4.93,1.51,0.25,0,2025-01-07 14:00:01
194,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.71,4.92,1.52,0.43,0,2025-01-07 14:20:02
195,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.26,4.92,1.52,0.20,0,2025-01-07 14:40:02
196,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.36,4.93,1.51,0.23,0,2025-01-07 15:00:02
197,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.87,4.92,1.52,0.33,0,2025-01-07 15:20:01
198,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.77,4.92,1.52,0.21,0,2025-01-07 15:40:02
199,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.84,4.92,1.52,0.25,0,2025-01-07 16:00:01
200,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.64,4.93,1.51,0.20,0,2025-01-07 16:20:02
201,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.62,4.92,1.51,0.22,0,2025-01-07 16:40:02
202,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.79,4.92,1.52,0.20,0,2025-01-07 17:00:01
203,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.68,4.93,1.51,0.37,0,2025-01-07 17:20:02
204,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.70,4.92,1.51,0.20,0,2025-01-07 17:40:02
205,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.88,4.93,1.51,0.32,0,2025-01-07 18:00:02
